annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2005;2;Femmes;4;Santé;1;Professeurs et assimilés;0211237F;Université de Dijon - Bourgogne;07;Dijon;26;Bourgogne;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;1;47.3141, 5.066377
2005;2;Femmes;5;STAPS;1;Professeurs et assimilés;0341087X;Université Montpellier 1;11;Montpellier;91;Languedoc-Roussillon;0342255S;PRES Université Montpellier Sud de France;;Hors IDEX;1;43.61493, 3.873641
2006;1;Hommes;1;Droit et sciences économiques;1;Professeurs et assimilés;0511296G;Université de Reims - Champagne-Ardenne;19;Reims;21;Champagne-Ardenne;0512141A;PRES Picardie-Champagne;;Hors IDEX;1;49.2559, 4.040127
2006;1;Hommes;1;Droit et sciences économiques;1;Professeurs et assimilés;0542493S;Université de Lorraine;12;Nancy-Metz;41;Lorraine;0542471T;PRES Université de Lorraine;;Hors IDEX;2;48.69623, 6.176543
2006;1;Hommes;1;Droit et sciences économiques;1;Professeurs et assimilés;0631262E;Université Clermont-Ferrand 1 - Auvergne;06;Clermont-Ferrand;83;Auvergne;0631987T;PRES Clermont Université;;Hors IDEX;1;45.77115, 3.088561
2006;1;Hommes;1;Droit et sciences économiques;1;Professeurs et assimilés;0690173N;Institut détudes politiques de Lyon;10;Lyon;82;Rhône-Alpes;0694094A;PRES Université de Lyon;;Hors IDEX;2;45.74709, 4.835774
2006;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0211237F;Université de Dijon - Bourgogne;07;Dijon;26;Bourgogne;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;7;47.3141, 5.066377
2006;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0341087X;Université Montpellier 1;11;Montpellier;91;Languedoc-Roussillon;0342255S;PRES Université Montpellier Sud de France;;Hors IDEX;1;43.61493, 3.873641
2006;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0490970N;Université d'Angers;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;1;47.47702, -0.54955
2006;1;Hommes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0730858L;Université de Chambéry - Savoie;08;Grenoble;82;Rhône-Alpes;0383412C;PRES Université de Grenoble;;Hors IDEX;1;45.56677, 5.917635
